name,fuel,seller_type,transmission,owner,owner_numeric,log_selling_price,log_km_driven,scaled_age
Maruti Swift VDI Deca,0,0,0,0,,13.353476685668044,11.156264806643742,0.10810810810810811
Toyota Fortuner 4x4 MT,0,0,0,1,,14.346139397261565,11.264476926102367,0.13513513513513514
Maruti Swift Star VDI,0,0,0,1,,13.017005083966255,11.695255355062795,0.1891891891891892
Maruti Ertiga ZXI,1,0,0,1,,13.017005083966255,11.695255355062795,0.21621621621621623
Tata Indica DLS,0,0,0,0,,10.819798284210286,11.156264806643742,0.4594594594594595
Volkswagen Vento Diesel Highline,0,0,0,0,,13.017005083966255,12.04355959836804,0.1891891891891892
Toyota Innova 2.5 VX (Diesel) 8 Seater,0,0,0,0,,13.997832948091215,11.849404844423074,0.10810810810810811
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,0,0,0,0,,13.321215875492413,11.407576060361786,0.13513513513513514
BMW X1 sDrive20i xLine,1,0,1,1,,14.731801689838349,10.308985993422082,0.10810810810810811
Maruti Celerio ZXI MT BSIV,1,1,0,0,,13.091904169919621,9.210440366976517,0.08108108108108109
Datsun GO A Petrol,1,1,0,0,,12.524530013005734,10.799595985047786,0.10810810810810811
Maruti Alto 800 VXI BSIV,1,1,0,0,,12.660331092405906,10.373522431293592,0.10810810810810811
Maruti Alto 800 LXI BSIV,1,1,0,0,,12.524530013005734,10.545367754151743,0.10810810810810811
Maruti Swift VDI BSIV W ABS,0,1,0,0,,13.07107218827772,11.264476926102367,0.13513513513513514
Hyundai i10 Era 1.1,1,1,0,0,,12.577639650232573,10.239995502805316,0.21621621621621623
Maruti Omni 8 Seater BSIV,1,1,0,0,,12.54254845357358,10.373522431293592,0.08108108108108109
Maruti Wagon R LXI LPG BSIV,2,1,0,0,,12.323860125621126,10.691967639914864,0.2702702702702703
Volkswagen Polo 1.2 MPI Comfortline,1,1,0,0,,13.02805489573287,10.645448706505872,0.13513513513513514
Hyundai i10 Magna 1.1L,1,1,0,1,,12.768544351446794,10.714439990727769,0.13513513513513514
Volkswagen Vento Petrol Highline,1,1,0,1,,13.190023895035274,9.392745258631441,0.21621621621621623
Maruti Zen Estilo LXI BSIII,1,1,0,0,,12.07254696717504,10.92415631759022,0.2972972972972973
Hyundai i20 Asta Optional with Sunroof 1.2,1,1,0,0,,13.171155446333852,11.026808713825016,0.1891891891891892
Maruti Swift Dzire LDI,0,0,0,0,,13.304686600863562,11.918397239722838,0.10810810810810811
Hyundai Xcent 1.2 Kappa SX Option AT,1,1,1,0,,13.244582780038517,11.184435286790631,0.10810810810810811
Maruti Alto LX BSIII,1,1,0,2,,11.695255355062795,11.127277689932466,0.32432432432432434
Hyundai i20 1.4 Asta Option,0,0,0,0,,13.493928313146206,11.608244735642321,0.08108108108108109
Maruti Wagon R VXI,1,1,0,1,,12.128116509451258,11.251573687764477,0.2972972972972973
Tata Manza Aura (ABS) Quadrajet,0,0,0,1,,12.206077645517674,11.51293546492023,0.2702702702702703
Maruti Swift VXI,1,0,0,0,,13.329379172803593,9.210440366976517,0.02702702702702703
Maruti Eeco 7 Seater Standard BSIV,1,0,0,2,,12.506180941677357,11.51293546492023,0.10810810810810811
Maruti Baleno Zeta 1.2,1,0,0,0,,13.321215875492413,10.463131911491967,0.05405405405405406
Mahindra Scorpio VLX AT AIRBAG BSIV,0,0,1,1,,13.345508528717259,11.156264806643742,0.16216216216216217
Ford Freestyle Titanium Petrol BSIV,1,0,0,1,,12.899222326086994,8.517393171418904,0.0
Hyundai Verna VTVT 1.6 SX,1,0,0,0,,13.671641342278317,10.540090836284206,0.08108108108108109
Volkswagen Passat 1.8 TSI MT,1,0,0,0,,13.45883704259595,11.643962499267984,0.2702702702702703
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,1,0,0,0,,12.611541086966115,10.778977123006351,0.2702702702702703
Mahindra XUV500 W11 Option AWD,0,0,0,0,,14.346139397261565,10.373522431293592,0.02702702702702703
Tata Indigo CS LS (TDI) BS-III,0,0,0,0,,12.834683971615659,11.51293546492023,0.10810810810810811
Hyundai Verna 1.6 SX,0,0,0,1,,13.165424782571753,11.918397239722838,0.1891891891891892
Hyundai i20 Magna 1.4 CRDi (Diesel),0,0,0,0,,13.021437458814368,11.141876276228,0.1891891891891892
Toyota Corolla Altis G,1,0,0,1,,12.611541086966115,11.51293546492023,0.2972972972972973
Maruti Celerio VXI,1,0,0,0,,13.07107218827772,9.472781556562168,0.0
Maruti Vitara Brezza ZDi Plus Dual Tone,0,0,0,0,,13.567050480716235,11.002116507732017,0.10810810810810811
Maruti Swift Dzire VXI,1,0,0,0,,13.296318365198623,10.596659732783579,0.08108108108108109
Maruti Wagon R VXI BS IV,1,0,0,0,,12.994532278619134,10.463131911491967,0.08108108108108109
Maruti Swift VDI BSIV,0,0,0,1,,12.611541086966115,11.695255355062795,0.2702702702702703
Nissan Terrano XL 85 PS,0,0,0,2,,12.899222326086994,11.156264806643742,0.16216216216216217
Hyundai Creta 1.6 CRDi SX,0,0,0,0,,13.946539697563276,10.819798284210286,0.10810810810810811
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,0,0,0,0,,13.652992804936396,11.240329029936488,0.08108108108108109
Maruti Swift Dzire VDi,0,0,0,3,,12.821260987319457,12.07254696717504,0.21621621621621623
Renault KWID 1.0,1,0,0,0,,12.765691290604371,10.12667110305036,0.05405405405405406
Maruti Celerio VXI,1,0,0,1,,12.793862088206213,10.596659732783579,0.13513513513513514
Maruti Alto LXi,1,0,0,3,,11.561725152903833,11.082157933374816,0.32432432432432434
Maruti Ertiga VDI,0,0,0,1,,13.345508528717259,11.407576060361786,0.1891891891891892
Hyundai Santro Xing GLS,1,0,0,1,,11.813037464800539,11.289794413577894,0.2972972972972973
Maruti Ertiga VDI,0,0,0,1,,13.45883704259595,11.608244735642321,0.13513513513513514
Honda Amaze S i-VTEC,1,1,0,0,,13.444448325847754,7.1731917424865985,0.02702702702702703
Audi Q5 35TDI Premium Plus,0,1,1,0,,15.195535557642865,10.367253014814716,0.05405405405405406
Lexus ES 300h,1,1,1,0,,15.454507466814658,9.90353755128617,0.02702702702702703
Jaguar XF 2.0 Diesel Portfolio,0,1,1,0,,14.978661680269907,10.714439990727769,0.08108108108108109
Jeep Wrangler 2016-2019 3.6 4X4,1,0,1,0,,15.226497775576945,9.741027444837728,0.08108108108108109
Land Rover Discovery Sport TD4 SE,0,1,1,0,,15.319588176962746,9.952325334619427,0.02702702702702703
Mercedes-Benz S-Class S 350 CDI,0,1,1,0,,15.607270193858982,10.518700218288165,0.08108108108108109
BMW 5 Series 520d Sport Line,0,1,1,0,,15.147876840910817,10.292179440058462,0.05405405405405406
BMW X1 sDrive 20D xLine,0,1,1,0,,14.580978865220017,10.203629181337648,0.08108108108108109
BMW X4 M Sport X xDrive20d,0,1,1,0,,15.573368647930426,8.922791623969637,0.02702702702702703
Skoda Superb LK 1.8 TSI AT,1,1,1,0,,14.438771611060053,10.819798284210286,0.05405405405405406
Mercedes-Benz E-Class E250 Edition E,0,1,1,0,,14.80876270134486,10.463131911491967,0.10810810810810811
MG Hector Sharp AT BSIV,1,1,1,0,,14.375126917328105,9.852246888342531,0.02702702702702703
Honda City i-VTEC CVT VX,1,1,1,0,,13.586098651497313,10.62135173563291,0.08108108108108109
Toyota Corolla Altis 1.8 G CVT,1,1,1,0,,13.345508528717259,10.571342565808699,0.1891891891891892
Volvo XC40 D4 R-Design,0,1,1,0,,15.039286283703994,9.99884318585288,0.05405405405405406
Audi Q7 35 TDI Quattro Premium,0,1,1,0,,14.790070575320824,10.87806606028079,0.13513513513513514
Maruti Ciaz ZDi,0,1,0,0,,13.190023895035274,10.596659732783579,0.13513513513513514
Mercedes-Benz S-Class S 350 CDI,0,1,1,0,,15.581952390148196,10.757924157061597,0.08108108108108109
BMW 5 Series 523i,1,1,1,1,,13.790193775620484,11.187209175200515,0.2702702702702703
Hyundai Elantra S,1,1,0,0,,13.598598798635953,10.817796321618971,0.10810810810810811
Jaguar XE 2016-2019 2.0L Diesel Prestige,0,1,1,0,,14.78059183496017,9.105090961257085,0.08108108108108109
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,1,1,0,0,,13.606024566142413,9.305741456739435,0.05405405405405406
Volkswagen Vento Petrol Highline,1,0,0,0,,12.834683971615659,10.799595985047786,0.24324324324324326
Hyundai Elantra SX,1,0,0,0,,13.217675375388819,11.461642696843066,0.21621621621621623
Skoda Rapid 1.6 MPI AT Elegance,1,1,1,0,,13.377007146164305,9.305741456739435,0.10810810810810811
Mercedes-Benz CLA 200 CGI Sport,1,1,1,0,,14.751604309291395,9.798182590890704,0.05405405405405406
Maruti Ertiga ZXI,1,1,0,0,,13.303018546545275,10.738589920723442,0.16216216216216217
Mercedes-Benz New C-Class C 200 AVANTGARDE,1,1,1,0,,14.80876270134486,9.680406499268875,0.08108108108108109
Honda City V AT,1,1,1,0,,13.681980308196241,9.798182590890704,0.08108108108108109
Toyota Glanza V CVT,1,1,1,0,,13.704578997256993,9.175231194862615,0.02702702702702703
Maruti Alto K10 VXI,1,1,0,0,,12.07254696717504,9.305741456739435,0.24324324324324326
Maruti Swift VXI,1,1,0,0,,12.73670383776449,10.098272780745283,0.21621621621621623
Toyota Innova Crysta 2.8 ZX AT BSIV,0,1,1,1,,14.23750562376114,10.64932205537508,0.10810810810810811
Tata Nexon 1.5 Revotorq XZA Plus DualTone,0,1,1,0,,13.840204146163925,8.987321812850125,0.05405405405405406
BMW 3 Series 320d Luxury Line,0,1,1,0,,14.580978865220017,10.308985993422082,0.10810810810810811
Toyota Camry 2.5 Hybrid,1,1,1,0,,14.45736497045232,10.62135173563291,0.10810810810810811
BMW 5 Series 520d Luxury Line,0,1,1,0,,14.88022163978423,9.392745258631441,0.10810810810810811
Toyota Camry W4 (AT),1,1,1,0,,13.017005083966255,11.170449240431308,0.2972972972972973
Maruti Ertiga BSIV ZXI Plus,1,0,0,0,,13.652992804936396,9.90353755128617,0.10810810810810811
Volvo XC90 T8 Excellence BSIV,1,0,1,0,,16.118095750958314,10.308985993422082,0.08108108108108109
Volkswagen Vento Diesel Highline,0,0,0,1,,12.611541086966115,11.51293546492023,0.24324324324324326
Ford Figo Aspire 1.2 Ti-VCT Trend,1,0,0,0,,13.26212705890841,9.15915233520675,0.05405405405405406
Ford Figo Diesel LXI,0,0,0,0,,11.982935344196433,11.695255355062795,0.24324324324324326
Maruti Swift VXI Optional,1,0,0,0,,13.151924121391561,10.50783084142058,0.13513513513513514
Maruti Wagon R AMT VXI,1,0,1,1,,12.873904582205107,10.819798284210286,0.13513513513513514
Hyundai i20 Magna 1.2,1,0,0,1,,13.217675375388819,9.546884034617925,0.10810810810810811
Maruti 800 Std,1,0,0,1,,10.596659732783579,10.596659732783579,0.5675675675675675
Maruti Ritz VDi,0,0,0,0,,12.301387370778713,11.695255355062795,0.2702702702702703
Hyundai Grand i10 Magna,1,0,0,0,,12.959846800844963,11.156264806643742,0.13513513513513514
Volkswagen Ameo 1.0 MPI Trendline,1,0,0,0,,13.081543466215237,9.472781556562168,0.02702702702702703
Hyundai Grand i10 Sportz,1,0,0,1,,12.899222326086994,11.002116507732017,0.16216216216216217
Maruti Swift Dzire VXI,1,0,0,0,,13.096021455450709,10.463131911491967,0.16216216216216217
Hyundai Xcent 1.2 Kappa S,1,0,0,1,,12.863595239117187,10.691967639914864,0.10810810810810811
Honda City 1.5 EXI,1,0,0,1,,11.51293546492023,11.695255355062795,0.40540540540540543
Toyota Corolla Altis Diesel D4DG,0,0,0,0,,12.611541086966115,11.002116507732017,0.2702702702702703
Daewoo Matiz SD,1,0,0,0,,11.51293546492023,11.002116507732017,0.5405405405405406
Toyota Fortuner 4x2 Manual,0,0,0,1,,14.375126917328105,10.308985993422082,0.16216216216216217
Mahindra KUV 100 mFALCON G80 K8,1,0,0,1,,13.017005083966255,9.61587214452889,0.10810810810810811
Tata Zest Quadrajet 1.3 75PS XM,0,0,0,0,,13.102162710901053,11.407576060361786,0.08108108108108109
Honda City 1.5 S MT,1,0,0,1,,12.75130259456002,10.757924157061597,0.2972972972972973
Maruti Zen LXI,1,0,0,0,,11.350418300109132,11.407576060361786,0.40540540540540543
Maruti Wagon R VXI BS IV with ABS,1,0,0,1,,12.278397958261774,11.700242855114809,0.2702702702702703
Hyundai Verna Transform SX VTVT,1,0,0,2,,12.676079399771027,11.51293546492023,0.2702702702702703
Maruti Swift Dzire VXI,1,0,0,1,,13.038981768465277,11.002116507732017,0.10810810810810811
Hyundai Getz GLS,1,0,0,0,,11.082157933374816,11.362114203075018,0.40540540540540543
Hyundai Elite i20 Sportz Plus BSIV,1,0,0,0,,13.487007879880162,8.517393171418904,0.0
Maruti Ciaz 1.3 Alpha,0,0,0,0,,13.592368256649284,10.518700218288165,0.08108108108108109
Tata Tigor 1.2 Revotron XZ,1,0,0,0,,13.161586013632684,9.546884034617925,0.02702702702702703
Maruti Ertiga VDI,0,0,0,0,,13.270785106659046,11.156264806643742,0.13513513513513514
Toyota Etios GD,0,0,0,0,,12.367345048436391,11.695255355062795,0.21621621621621623
Honda City i VTEC S,1,0,0,0,,13.304686600863562,10.819798284210286,0.13513513513513514
Honda Brio S MT,1,0,0,1,,12.577639650232573,11.002116507732017,0.16216216216216217
Maruti Wagon R LXI CNG,3,0,0,0,,12.793862088206213,10.819798284210286,0.10810810810810811
Maruti Swift Dzire VXI,1,0,0,0,,13.217675375388819,10.819798284210286,0.08108108108108109
Hyundai i20 Sportz 1.2,1,0,0,0,,12.834683971615659,11.156264806643742,0.1891891891891892
Maruti Omni E 8 Str STD,1,0,0,1,,10.596659732783579,11.407576060361786,0.4594594594594595
Maruti Wagon R AMT VXI,1,0,1,0,,12.948012371209098,10.463131911491967,0.05405405405405406
Maruti Swift Dzire VXI 1.2,1,0,0,0,,13.217675375388819,9.90353755128617,0.08108108108108109
Maruti Alto 800 LXI,1,0,0,0,,12.506180941677357,9.90353755128617,0.05405405405405406
Maruti Swift Dzire AMT VXI BS IV,1,0,1,0,,13.45883704259595,8.962007209588313,0.05405405405405406
Maruti Swift VXI Optional,1,0,0,0,,13.122365377402328,9.90353755128617,0.08108108108108109
Tata Hexa XE,0,0,0,0,,14.038654909278163,9.61587214452889,0.02702702702702703
Hyundai i20 Magna,1,0,0,1,,12.676079399771027,10.3538622893929,0.1891891891891892
Maruti Swift Dzire VDI,0,0,0,0,,13.45883704259595,10.819798284210286,0.05405405405405406
Maruti Wagon R VXI BS IV,1,0,0,0,,12.577639650232573,11.002116507732017,0.13513513513513514
Toyota Corolla Altis 1.8 VL AT,1,0,1,0,,13.217675375388819,11.51293546492023,0.21621621621621623
Honda Brio S MT,1,0,0,0,,12.487488878546145,11.002116507732017,0.21621621621621623
Maruti Baleno Alpha Automatic,1,0,1,0,,13.629182184591333,8.517393171418904,0.05405405405405406
Tata Safari Storme EX,0,0,0,0,,13.592368256649284,11.002116507732017,0.08108108108108109
Maruti Alto LXi,1,0,0,1,,11.982935344196433,10.12667110305036,0.24324324324324326
Renault KWID RXT,1,0,0,0,,12.721888795877375,10.308985993422082,0.05405405405405406
Datsun GO T BSIV,1,0,0,1,,12.703816069256568,11.289794413577894,0.08108108108108109
Maruti Vitara Brezza VDi Option,0,0,0,0,,13.560619598657233,11.225256725762893,0.08108108108108109
Hyundai Xcent 1.2 VTVT SX,1,0,0,0,,13.169248871698304,10.373522431293592,0.0
Maruti Alto 800 LXI,1,0,0,0,,12.409017571151187,10.596659732783579,0.13513513513513514
Hyundai i20 1.2 Sportz,1,0,0,1,,12.524530013005734,11.440365524765756,0.21621621621621623
Tata Zest Revotron 1.2 XT,1,0,0,0,,13.161586013632684,11.002116507732017,0.05405405405405406
Maruti Swift 1.3 VXi,1,0,0,1,,11.775297421715827,11.695255355062795,0.32432432432432434
Nissan Sunny XL,1,0,0,0,,13.217675375388819,10.518700218288165,0.16216216216216217
Ford EcoSport 1.5 Petrol Titanium Plus BSIV,1,0,0,0,,13.721200977393528,9.61587214452889,0.05405405405405406
Nissan Micra Active XV S,1,0,0,0,,12.611541086966115,11.289794413577894,0.13513513513513514
Maruti Wagon R LXI Optional,1,0,0,0,,12.765691290604371,11.849404844423074,0.10810810810810811
Mahindra Ssangyong Rexton RX5,0,0,0,0,,13.710151153416941,11.156264806643742,0.1891891891891892
Mahindra Quanto C8,0,0,0,1,,12.611541086966115,11.695255355062795,0.1891891891891892
Maruti Ritz LDi,0,0,0,1,,12.429220196836383,11.608244735642321,0.2702702702702703
Hyundai Creta 1.6 CRDi SX Plus Dual Tone,0,0,0,0,,13.910821646859095,10.518700218288165,0.08108108108108109
Renault KWID RXT,1,0,0,0,,12.506180941677357,10.691967639914864,0.10810810810810811
Maruti Ertiga VDI,0,0,0,0,,13.369225017834633,11.289794413577894,0.13513513513513514
Mahindra XUV500 W4,0,0,0,0,,13.384729180332174,11.736077016252437,0.13513513513513514
Maruti Eeco 5 Seater AC BSIV,1,0,0,0,,12.92391243868049,9.510519035757246,0.08108108108108109
Hyundai Santro Xing GLS,1,0,0,0,,12.013706813470414,11.225256725762893,0.24324324324324326
Hyundai Accent GLE,1,0,0,1,,11.289794413577894,11.695255355062795,0.35135135135135137
Mahindra XUV500 W8 2WD,0,0,0,0,,13.190023895035274,11.695255355062795,0.21621621621621623
Toyota Innova 2.5 EV (Diesel) PS 7 Seater BS IV,0,0,0,0,,13.45883704259595,11.156264806643742,0.1891891891891892
Maruti Swift Dzire VDI,0,0,0,0,,13.217675375388819,11.156264806643742,0.1891891891891892
Honda Amaze S CVT Petrol BSIV,1,0,1,0,,13.429849547739444,9.61587214452889,0.02702702702702703
Hyundai i10 Sportz 1.2,1,0,0,1,,12.206077645517674,10.87806606028079,0.2972972972972973
Maruti Swift Dzire VDI,0,0,0,1,,13.122365377402328,11.695255355062795,0.16216216216216217
Maruti Ertiga SHVS ZDI Plus,0,0,0,0,,13.815511557963774,11.156264806643742,0.10810810810810811
Hyundai Getz 1.3 GVS,1,0,0,1,,11.608244735642321,11.695255355062795,0.32432432432432434
Hyundai i20 1.2 Magna,1,0,0,1,,12.676079399771027,11.51293546492023,0.21621621621621623
Tata Indica DLS,0,0,0,1,,11.225256725762893,11.608244735642321,0.40540540540540543
Maruti Swift LXI Optional-O,1,0,0,0,,12.765691290604371,11.51293546492023,0.13513513513513514
Tata Indica Vista TDI LS,0,0,0,0,,12.04355959836804,11.998439434579149,0.1891891891891892
Hyundai i20 2015-2017 Asta 1.4 CRDi,0,0,0,0,,13.592368256649284,10.571342565808699,0.08108108108108109
Maruti Ignis 1.3 Alpha,0,0,0,0,,13.122365377402328,11.225256725762893,0.08108108108108109
Tata Hexa XTA,0,0,1,0,,14.137594781770806,10.819798284210286,0.08108108108108109
Mahindra Marazzo M6 8Str,0,0,0,0,,14.077875591662238,10.596659732783579,0.02702702702702703
Hyundai Verna 1.6 CRDI,0,0,0,0,,13.180634172318978,11.434974734252892,0.1891891891891892
Maruti Swift Dzire VDI,0,0,0,0,,12.793862088206213,11.970356641102999,0.21621621621621623
Maruti Swift Dzire LDi,0,0,0,0,,12.644330802262578,11.695255355062795,0.21621621621621623
Honda City i DTEC V,0,0,0,1,,13.493928313146206,10.819798284210286,0.13513513513513514
Maruti Swift Dzire ZDi,0,0,0,0,,12.73670383776449,11.608244735642321,0.21621621621621623
Hyundai Xcent 1.2 CRDi E,0,0,0,1,,13.217675375388819,7.601402334583733,0.08108108108108109
Toyota Fortuner 3.0 Diesel,0,0,0,1,,13.955273369904273,12.10625783509458,0.24324324324324326
Tata Tiago 1.05 Revotorq XZ,0,0,0,0,,12.847929163278053,11.156264806643742,0.10810810810810811
Nissan Sunny XL AT Special Edition,1,0,1,1,,12.765691290604371,11.407576060361786,0.1891891891891892
Hyundai Elite i20 Magna Plus BSIV,1,0,0,0,,13.321215875492413,7.601402334583733,0.02702702702702703
Maruti Swift Dzire VXI,1,0,0,0,,13.171155446333852,9.90353755128617,0.13513513513513514
Toyota Innova 2.5 GX 7 STR,0,0,0,0,,13.081543466215237,11.695255355062795,0.24324324324324326
